id,text,description,source_description
mq_0685,"You're really lucky, you know that? You didn't have to wait your whole life to do something special.",Movie quote from El Camino (2019),El Camino (2019)
mq_0686,"Even if we do ignore the previous data, Broly's latent abilities are quite remarkable.",Movie quote from Dragon Ball Super: Broly (2019),Dragon Ball Super: Broly (2019)
mq_0687,My mother always tells me to smile and put on a happy face. She told me I had a purpose to bring laughter and joy to the world.,Movie quote from Joker (2019),Joker (2019)
mq_0688,How truly magnificent! I think this battle is about to come to a rousing finale!,Movie quote from Dragon Ball Super: Broly (2019),Dragon Ball Super: Broly (2019)
mq_0689,Today the impossible becomes the possible. ,Movie quote from The Current War (2019),The Current War (2019)
mq_0690,There is no punchline.,Movie quote from Joker (2019),Joker (2019)
mq_0691,"Is it just me, or is it getting crazier out there?’",Movie quote from Joker (2019),Joker (2019)
mq_0692,That's MotherF****** street poetic justice.,Movie quote from Shaft (2019),Shaft (2019)
mq_0693,"Maybe it's because I'm constantly fighting, destro…d to be a lower-class warrior... like my Kakarot.",Movie quote from Dragon Ball Super: Broly (2019),Dragon Ball Super: Broly (2019)
mq_0694,"These barbarians pretend to be submissive, but the…a sleeping beast down, before it can be awakened.",Movie quote from Dragon Ball Super: Broly (2019),Dragon Ball Super: Broly (2019)
mq_0695,"Time means nothing. Jeremy Bearimy, baby. We’ll just get through this. And then you and I can chill out in the dot of the I forever.",Movie quote from The Good Place (2019),The Good Place (2019)
mq_0696,The worst part of having a mental illness is people expect you to behave as if you don't,Movie quote from Joker (2019),Joker (2019)
mq_0697,"You give me your loyalty, and I’ll guarantee that each and every one of you will have a chance to be a warrior, to actually be a part of history.",Movie quote from The Kill Team (2019),The Kill Team (2019)
mq_0698,What do you want most in the world?,Movie quote from Anna (2019),Anna (2019)
mq_0699,I do what I do because of my dad. He was a hero. He gave his life for the pursuit of knowledge.,Movie quote from Ad Astra (2019),Ad Astra (2019)
mq_0700,"You've got a lot to learn. Here on Earth, we like …have to listen to what the others tell you to do.",Movie quote from Dragon Ball Super: Broly (2019),Dragon Ball Super: Broly (2019)
mq_0701,Following's not really my style.,Movie quote from Marvel's The Avengers (2019),Marvel's The Avengers (2019)
mq_0702,I have nothing to prove to you,Movie quote from Captain Marvel (2019),Captain Marvel (2019)
mq_0703,"Dude, you are on fire.",Movie quote from El Camino (2019),El Camino (2019)
mq_0704,This is me. This is how I win.,Movie quote from Uncut Gems (2019),Uncut Gems (2019)
mq_0705,Why have average when you can have extraordinary?,Movie quote from The Boys (2019),The Boys (2019)
mq_0706,You are my lighting rod.,Movie quote from Avengers: Endgame (2019),Avengers: Endgame (2019)
mq_0707,"Bruce Lee: My hands are registered as lethal weapons. We get into a fight, I accidentally kill you... I go to jail.",Movie quote from Once Upon a Time in Hollywood (2019),Once Upon a Time in Hollywood (2019)
mq_0708,"I'm as real as a donut, motherfucker.",Movie quote from Once Upon a Time in Hollywood (2019),Once Upon a Time in Hollywood (2019)
mq_0709,"I used to think that my life was a tragedy. But now I realize, it’s a comedy.",Movie quote from Joker (2019),Joker (2019)
mq_0710,"I use the words you taught me. If they don't mean anything any more, teach me others. Or let me be silent.",Movie quote from Avengers: Endgame (2019),Avengers: Endgame (2019)
mq_0711,I used to use this little gun when I was a prostitude.,Movie quote from Pineapple Express (2019),Pineapple Express (2019)
mq_0712,If you want to get crazy. We can get crazy.,Movie quote from Us (2019),Us (2019)
mq_0713,"If you can only do one thing, hone it to perfection. Hone it to the utmost limit!",Movie quote from Kimetsu no Yaiba (2019),Kimetsu no Yaiba (2019)
mq_0714,You get what you f***ing deserve !!,Movie quote from Joker (2019),Joker (2019)
mq_0715,"You don't listen, do you?",Movie quote from Joker (2019),Joker (2019)
mq_0716,Never let your wings be stolen for you,Movie quote from Maleficent:The Mistress of Evil (2019),Maleficent:The Mistress of Evil (2019)
mq_0717,"Guns, lots of guns.",Movie quote from John Wick 3: Parabellum (2019),John Wick 3: Parabellum (2019)
mq_0718,I was so sure my strength was getting close to it'…on this planet... Then who would I train against.,Movie quote from Dragon Ball Super: Broly (2019),Dragon Ball Super: Broly (2019)
mq_0719,No amount of money ever bought a second of time.,Movie quote from Avengers: Endgame (2019),Avengers: Endgame (2019)
mq_0720,The end is in the beginning and yet you go on.,Movie quote from Avengers: Endgame (2019),Avengers: Endgame (2019)
mq_0721,This meeting of The Losers Club has officially begun.,Movie quote from It Chapter Two (2019),It Chapter Two (2019)
mq_0722," Spider-Pig, Spider-Pig. Does whatever a Spider-Pig does. Can he swing from a web? No he can't, he's a pig. Look out! He is a Spider-Pig!",Movie quote from The Simpsons Movie (2019),The Simpsons Movie (2019)
mq_0723,Let’s do this.,Movie quote from Men in Black (2019),Men in Black (2019)
mq_0724,"It looks as though he's managed to transform someh… his human form, retaining his speed and agility.",Movie quote from Dragon Ball Super: Broly (2019),Dragon Ball Super: Broly (2019)
mq_0725,I just hope my death makes more cents than my life.,Movie quote from Joker (2019),Joker (2019)
mq_0726,I am Iron Man.,Movie quote from Avengers: Endgame (2019),Avengers: Endgame (2019)
mq_0727,I didn't know if you were lost. Stick with me. I'll keep you safe.,Movie quote from Us (2019),Us (2019)
mq_0728,This guy's awesome! He's holding his own while still in his base form!,Movie quote from Dragon Ball Super: Broly (2019),Dragon Ball Super: Broly (2019)
mq_0729,"Murder is murder, it don’t matter who you are.",Movie quote from Black and Blue (2019),Black and Blue (2019)
mq_0730,"You know what a lion is? A lion is a strong animal. They do what the fuck they wanna do. Take what they want, eat what they want, they run when they feel like it. Lion.",Movie quote from Between Two Ferns: The Movie (2019),Between Two Ferns: The Movie (2019)
mq_0731,That was the best acting i've ever seen in my whole life.,Movie quote from Once Upon a Time in Hollywood (2019),Once Upon a Time in Hollywood (2019)
