id,text,description,source_description
mq_0146,"What do you call them, Max? Yabbos? Max likes your yabbos. In fact, he loves them!",Movie quote from Hocus Pocus (1993),Hocus Pocus (1993)
mq_0147,You bred raptors?,Movie quote from Jurassic Park (1993),Jurassic Park (1993)
mq_0148,I'm your Huckleberry.,Movie quote from Tombstone (1993),Tombstone (1993)
mq_0149,"You’re killin’ me, Smalls.",Movie quote from The Sandlot (1993),The Sandlot (1993)
mq_0150,"When I got tired, I slept. When I got hungry, I ate. When I had to go, you know, I went.",Movie quote from Forrest Gump (1994),Forrest Gump (1994)
mq_0151,Some birds aren't meant to be caged. Their feathers are just too bright.,Movie quote from Shawshank Redemption (1994),Shawshank Redemption (1994)
mq_0152,"Yeah I called her up. She gave me a bunch of crap about me not listening to her, or something. I don't know, I wasn't really paying attention.",Movie quote from Dumb and Dumber (1994),Dumb and Dumber (1994)
mq_0153,"Run, Forrest, run!",Movie quote from Forrest Gump (1994),Forrest Gump (1994)
mq_0154,"Lord, it's a miracle! Man up and vanished like a fart in the wind!",Movie quote from Shawshank Redemption (1994),Shawshank Redemption (1994)
mq_0155,"The past can hurt. But the way I see it, you can either run from it or learn from it.",Movie quote from The Lion King (1994),The Lion King (1994)
mq_0156,"Oh yes, the past can hurt. But you can either run from it, or learn from it.",Movie quote from The Lion King (1994),The Lion King (1994)
mq_0157,"Hope is a good thing, maybe the best of things, and no good thing ever dies.",Movie quote from The Shawshank Redemption (1994),The Shawshank Redemption (1994)
mq_0158,Everything the light touches is our kingdom.,Movie quote from The Lion King (1994),The Lion King (1994)
mq_0159,Life is like a box of chocolates; you never know what you're gonna get.,Movie quote from Forrest Gump (1994),Forrest Gump (1994)
mq_0160,"These walls are funny. First you hate ’em. Then you get used to ’em. Enough time passes, you get so you depend on them. That’s institutionalized.",Movie quote from Shawshank Redemption (1994),Shawshank Redemption (1994)
mq_0161,"I mean, seriously, how often do you really look at a mans shoes?",Movie quote from Shawshank Redemption (1994),Shawshank Redemption (1994)
mq_0162,"Hope is a good thing, maybe the best of things, and no good thing ever dies.",Movie quote from Shawshank Redemption (1994),Shawshank Redemption (1994)
mq_0163,"Everything you see exists together in a delicate balance. As king, you need to understand that balance and respect all the creatures, from the crawling ant to the leaping antelope.",Movie quote from The Lion King (1994),The Lion King (1994)
mq_0164,Mama says stupid is as stupid does.,Movie quote from Forrest Gump (1994),Forrest Gump (1994)
